t (ms),vlv (ml),plv (mmHg),part (mmHg)
210.2170284,57.54,75.32967531,76.7255958
213.2951745,57.14,75.36947708,77.06794636
216.3733206,56.76,75.40347522,77.39382584
219.4514667,56.39,75.43254025,77.70356195
222.5168932,56.02,75.45754335,77.99748051
225.5950394,55.67,75.47937819,78.27584656
228.6731855,55.32,75.4989653,78.53885244
231.7513316,54.98,75.51722679,78.78668625
234.8294777,54.64,75.53508475,79.01953608
237.9076238,54.31,75.55346183,79.23759022
240.9857699,53.99,75.57331655,79.44105048
244.0639161,53.68,75.59566511,79.63014038
247.1420622,53.37,75.6215289,79.80508543
250.2202083,53.07,75.65192932,79.96611111
253.2983544,52.78,75.6878871,80.11344291
256.3765005,52.49,75.73029388,80.24730343
259.441927,52.22,75.77975948,80.36790898
262.5200731,51.95,75.83685651,80.47547505
265.5982193,51.69,75.90215759,80.57021713
268.6763654,51.43,75.97623559,80.65235069
271.7545115,51.19,76.0600342,80.72209179
274.8326576,50.95,76.15561288,80.77965824
277.9108037,50.72,76.26524006,80.82526815
280.9889498,50.49,76.3911842,80.85913963
284.067096,50.27,76.53571373,80.88149081
287.1452421,50.06,76.69962974,80.89253971
290.2233882,49.86,76.87756982,80.89250402
293.3015343,49.68,77.06255351,80.88160136
296.3796804,49.52,77.24760034,80.8600493
299.4451069,49.38,77.42572984,80.82806546
302.523253,49.26,77.58942089,80.78586737
305.6013992,49.17,77.72796258,80.7336722
308.6795453,49.1,77.82947836,80.67169699
311.7576914,49.06,77.88208996,80.60015878
314.8358375,49.05,77.87391908,80.51927461
317.9139836,49.05,77.79305414,80.42926172
320.9921297,49.07,77.62730263,80.33033905
324.0702759,49.1,77.36433127,80.22272639
327.148422,49.14,76.99180569,80.10664353
330.2265681,49.19,76.49739152,79.98231028
333.3047142,49.23,75.8691346,79.84994595
336.3701407,49.28,75.09981968,79.70976397
339.4482868,49.32,74.18544775,79.56197372
342.5264329,49.36,73.122081,79.40678453
345.6045791,49.41,71.90578161,79.24440573
348.6827252,49.45,70.53275691,79.07504765
351.7608713,49.49,69.00205349,78.89894021
354.8390174,49.52,67.31530502,78.71633123
357.9171635,49.56,65.47423973,78.52746916
360.9953096,49.59,63.48058584,78.33260246
364.0734558,49.62,61.33648761,78.13197774
367.1516019,49.64,59.05821378,77.92577876
370.229748,49.67,56.67927748,77.71411259
373.3078941,49.69,54.23423962,77.49708162
376.3733206,49.71,51.75766111,77.27478827
379.4514667,49.72,49.28399842,77.04733849
382.5296128,49.74,46.84033707,76.81509083
385.607759,49.75,44.44165289,76.57881869
388.6859051,49.75,42.10179567,76.33933408
391.7640512,49.75,39.83461519,76.09744901
394.8421973,49.75,37.6539367,75.85397627
397.9203434,49.74,35.56835672,75.60989642
400.9984895,49.72,33.57479248,75.36656478
404.0766357,49.68,31.66857885,75.12538743
407.1547818,49.65,29.84505071,74.88777048
410.2329279,49.62,28.09954338,74.65511994
413.2983544,49.61,26.42825161,74.42871583
416.3765005,49.62,24.83001865,74.20944985
419.4546466,49.68,23.30419628,73.99813916
422.5327927,49.78,21.85013629,73.79560089
425.6109389,49.95,20.46719046,73.6026522
428.689085,50.18,19.15454431,73.41999684
431.7672311,50.48,17.91066766,73.24785041
434.8453772,50.86,16.73383782,73.08629726
437.9235233,51.29,15.62233209,72.93542169
441.0016694,51.78,14.57442777,72.79530802
444.0798156,52.3,13.5884323,72.66593718
447.1579617,52.84,12.66283565,72.54666445
450.2361078,53.41,11.79619602,72.4366111
453.3015343,53.98,10.98707175,72.33489795
456.3796804,54.54,10.23402116,72.24064585
459.4578265,55.09,9.535599088,72.15298399
462.5359727,55.63,8.890329931,72.0711139
465.6141188,56.15,8.296722498,71.99427421
468.6922649,56.67,7.753285471,71.92170385
471.770411,57.18,7.258527531,71.85264175
474.8485571,57.68,6.810953184,71.78633904
477.9267032,58.18,6.409013253,71.72220369
481.0048494,58.68,6.051121336,71.65975244
484.0829955,59.18,5.735690281,71.59850421
487.1611416,59.68,5.461132938,71.53797791
490.2392877,60.18,5.22585678,71.47770432
493.3047142,60.69,5.028160275,71.41745449
496.3828603,61.18,4.866240433,71.35722317
499.4610064,61.68,4.738290397,71.29701359
502.5391526,62.17,4.642503315,71.23682899
505.6172987,62.66,4.577072842,71.17667149
508.6954448,63.15,4.540210842,71.11650296
511.7735909,63.63,4.53015188,71.05623505
514.851737,64.12,4.545131949,70.99577627
517.9298831,64.61,4.583387043,70.93503516
521.0080293,65.1,4.643153047,70.87392032
524.0861754,65.59,4.722657751,70.81234903
527.1643215,66.09,4.820115355,70.75025302
530.229748,66.59,4.933738756,70.68756544
533.3078941,67.08,5.061740852,70.62421943
536.3860402,67.56,5.202334598,70.56014811
539.4641863,68.02,5.353746682,70.49528358
542.5423325,68.46,5.51423517,70.42955553
545.6204786,68.88,5.682062493,70.36289335
548.6986247,69.27,5.855491081,70.2952264
551.7767708,69.62,6.032783351,70.22648405
554.8549169,69.93,6.212165085,70.15659367
557.933063,70.2,6.391746437,70.08547631
561.0112092,70.45,6.569614802,70.0130518
564.0893553,70.67,6.743857573,69.93923993
567.1547818,70.87,6.912562145,69.86396052
570.2329279,71.06,7.073921682,69.78714011
573.311074,71.24,7.226595902,69.70873487
576.3892201,71.42,7.369373127,69.62870914
579.4673662,71.6,7.501041681,69.54702728
582.5455124,71.79,7.620389891,69.46365363
585.6236585,71.98,7.726411205,69.37856803
588.7018046,72.18,7.819371845,69.29184635
591.7799507,72.38,7.900025519,69.2036013
594.8580968,72.59,7.969126925,69.11394562
597.9362429,72.81,8.02743076,69.02299208
601.0143891,73.03,8.07567161,68.93085201
604.0925352,73.27,8.114405078,68.8376241
607.1579617,73.52,8.144092922,68.74340042
610.2361078,73.79,8.165196072,68.64827295
613.3142539,74.07,8.178175458,68.55233371
616.3924,74.37,8.183495313,68.45567491
619.4705461,74.68,8.181663621,68.35839189
622.5486923,75.01,8.173219369,68.26058216
625.6268384,75.35,8.158702203,68.16234328
628.7049845,75.7,8.138651768,68.06377282
631.7831306,76.06,8.113607217,67.96496829
634.8612767,76.42,8.084097343,67.86602651
637.9394228,76.79,8.050641091,67.76704355
641.017569,77.15,8.013757015,67.6681155
644.0829955,77.52,7.973963667,67.56933842
647.1611416,77.88,7.931779666,67.4708084
650.2392877,78.23,7.887725999,67.37262167
653.3174338,78.58,7.842326676,67.2748747
656.3955799,78.93,7.796105902,67.17766394
659.4737261,79.27,7.749587882,67.08108588
662.5518722,79.59,7.703296815,66.98523698
665.6300183,79.91,7.657756377,66.89021367
668.7081644,80.21,7.613489347,66.79611233
671.7863105,80.5,7.571018416,66.70302932
674.8644566,80.77,7.530866275,66.61106101
677.9426028,81.02,7.493555615,66.52030374
681.0207489,81.26,7.459609239,66.43085391
684.0861754,81.48,7.429550205,66.34280789
687.1643215,81.68,7.40390161,66.25626208
690.2424676,81.86,7.383186551,66.17131287
693.3206137,82,7.367928125,66.08805665
696.3987598,82.12,7.358649407,66.00658982
699.476906,82.2,7.355873397,65.92700876
702.5550521,82.24,7.360123085,65.84940985
705.6331982,82.24,7.371921459,65.77388948
708.7113443,82.2,7.391791505,65.70054403
711.7894904,82.12,7.420256218,65.62946989
714.8676365,82,7.457838607,65.56076344
717.9457827,81.85,7.50506169,65.49452107
721.0112092,81.68,7.562448485,65.43083917
724.0893553,81.49,7.630522008,65.36981412
727.1675014,81.29,7.709805275,65.31154232
730.2456475,81.07,7.800821298,65.25612013
733.3237936,80.86,7.904093086,65.20364396
736.4019397,80.64,8.020143648,65.15421019
738.5133953,80.82,8.149495994,65.1079152
744.656968,80.81,8.292673133,65.06485538
750.8132602,80.8,8.450198075,65.02512712
756.9568328,80.8,8.622593832,64.9888268
763.113125,80.78,8.810383415,64.9560508
769.2566977,80.77,9.014089836,64.92689552
775.4129899,80.75,9.234236105,64.90145734
781.5565625,80.72,9.471345233,64.87983265
787.7001351,80.68,9.725940233,64.86211783
793.8564274,80.63,9.998544114,64.84840927
800,80.56,10.28967989,64.83880335
