t (ms),vlv (ml),plv (mmHg),pao  (mmHg)
507.400386,65.89,45.64948624,121.485969
511.3490803,66.59,42.37713611,121.2471521
515.2841113,67.26,39.30933653,120.9840869
519.2191423,67.91,36.43381334,120.697887
523.1678366,68.55,33.73944741,120.3896389
527.1028676,69.17,31.21971165,120.0603214
531.0378986,69.78,28.86921996,119.7108865
534.9729296,70.38,26.68258628,119.3422863
538.9216239,70.99,24.65418435,118.9554782
542.8566549,71.59,22.77712144,118.5514492
546.7916859,72.21,21.04408895,118.1311957
550.7403802,72.83,19.44777799,117.6957143
554.6754112,73.45,17.98090382,117.2459999
558.6104422,74.07,16.63635162,116.7830373
562.5454732,74.68,15.40707972,116.3078065
566.4941675,75.3,14.28604671,115.8212877
570.4291985,75.91,13.26617842,115.3244624
574.3642295,76.52,12.34008618,114.8183245
578.3129238,77.13,11.50020601,114.3038751
582.2479548,77.74,10.73897205,113.7821151
586.1829858,78.34,10.04889119,113.2540427
590.1180168,78.94,9.423449659,112.7206153
594.0667111,79.54,8.856835224,112.1827613
598.0017421,80.14,8.343250908,111.6414086
601.9367731,80.72,7.877022546,111.0974805
605.8854674,81.29,7.454900264,110.5518111
609.8204984,81.84,7.075854939,110.0051525
613.7555294,82.36,6.738939451,109.458254
617.7042237,82.84,6.443196368,108.9118653
621.6392547,83.29,6.187347855,108.3667486
625.5742857,83.68,5.969741242,107.8236803
629.5093167,84.02,5.788702575,107.2834382
633.458011,84.31,5.642559251,106.7467995
637.393042,84.57,5.529712469,106.2145389
641.328073,84.79,5.448673962,105.6874267
645.2767673,84.99,5.39796453,105.1662328
649.2117983,85.17,5.376104837,104.6517272
653.1468293,85.35,5.381599014,104.1446803
657.0818603,85.52,5.412919309,103.6458641
661.0305546,85.71,5.468534341,103.1560504
664.9655856,85.92,5.546912737,102.6760113
668.9006166,86.15,5.646526713,102.2065186
672.8493109,86.39,5.765857482,101.7483436
676.7843419,86.65,5.903387646,101.302258
680.7193729,86.92,6.057599804,100.869033
684.6544039,87.2,6.226975802,100.44944
688.6030982,87.48,6.409995005,100.0442508
692.5381292,87.76,6.605136265,99.65423671
696.4731602,88.05,6.810878438,99.28016941
700.4218545,88.33,7.02570053,98.92282042
704.3568855,88.61,7.248082216,98.58296128
705.0810405,82.22,7.476503354,98.2613635
709.0160715,81.62,7.709443802,97.95879862
712.9647658,80.99,7.945383388,97.67603814
716.8997968,80.36,8.182801762,97.41385361
720.8348278,79.76,8.420178514,97.17301654
724.7698588,79.22,8.655993232,96.95429848
728.7185531,78.76,8.888725511,96.75847095
732.6535841,78.41,9.11685499,96.58630548
736.5886151,78.19,9.338861331,96.43857361
740.5373094,78.15,9.553224192,96.31604686
744.4723404,78.29,9.758423235,96.21949675
749.6234052,78.66,9.952938107,96.14969483
754.7881334,79.25,10.13524845,96.10741262
759.9528616,79.99,10.30383391,96.09342164
765.1039265,80.86,10.45717412,96.10849343
770.2686547,81.79,10.59374873,96.15339952
775.4333829,82.74,10.71203738,96.22891144
780.5844477,83.66,10.81051973,96.33580071
785.7491759,84.51,10.88767541,96.47483887
790.9002408,85.24,10.94198407,96.64679744
796.064969,85.79,10.97192537,96.85244795
800,86.17,10.97597894,97.09256194
