t (ms), vlv (ml), plv (mmHg), part (mmHg)
1.003474597872311875e+02,8.301999999999999602e+01,9.141353232469580803e+01,8.517265478771589926e+01
1.035564320306945092e+02,8.226000000000000512e+01,9.213449011627163543e+01,8.587178369392948696e+01
1.067654042741578451e+02,8.154000000000000625e+01,9.285544790784747704e+01,8.657091260014307466e+01
1.099743765176211809e+02,8.084999999999999432e+01,9.357640569942331865e+01,8.727004150635666235e+01
1.131940811097248485e+02,8.018000000000000682e+01,9.429977472107130154e+01,8.797150863633684992e+01
1.164030533531881701e+02,7.953000000000000114e+01,9.479559033116558453e+01,8.857451791540603381e+01
1.196120255966514918e+02,7.889000000000000057e+01,9.517532971581692891e+01,8.912797093879497368e+01
1.228209978401148419e+02,7.826000000000000512e+01,9.555506910046828750e+01,8.968142396218391355e+01
1.260299700835781636e+02,7.762999999999999545e+01,9.593480848511963188e+01,9.023487698557283920e+01
1.292389423270414852e+02,7.700000000000000000e+01,9.631454786977097626e+01,9.078833000896177907e+01
1.324479145705048211e+02,7.640000000000000568e+01,9.656115764188615458e+01,9.127373049837861174e+01
1.356568868139681570e+02,7.581000000000000227e+01,9.670817036630020880e+01,9.170821946373192191e+01
1.388658590574314644e+02,7.523000000000000398e+01,9.685518309071427723e+01,9.214270842908521786e+01
1.420748313008948003e+02,7.465999999999999659e+01,9.700219581512834566e+01,9.257719739443852802e+01
1.452838035443581362e+02,7.409000000000000341e+01,9.714920853954239988e+01,9.301168635979183819e+01
1.484927757878214720e+02,7.351999999999999602e+01,9.723598821868350228e+01,9.340154044039125836e+01
1.517017480312848079e+02,7.295000000000000284e+01,9.725862117449489119e+01,9.374385945796691999e+01
1.549107202747481153e+02,7.235999999999999943e+01,9.728125413030628010e+01,9.408617847554259583e+01
1.581196925182114228e+02,7.176999999999999602e+01,9.730388708611766901e+01,9.442849749311825747e+01
1.613286647616747871e+02,7.115999999999999659e+01,9.732652004192905792e+01,9.477081651069393331e+01
1.645376370051380945e+02,7.053000000000000114e+01,9.734279609529745869e+01,9.508721455297587966e+01
1.677466092486014304e+02,6.990000000000000568e+01,9.734939617217528962e+01,9.536415772713540662e+01
1.709555814920647663e+02,6.926000000000000512e+01,9.735599624905312055e+01,9.564110090129494779e+01
1.741645537355281022e+02,6.862000000000000455e+01,9.736259632593093727e+01,9.591804407545447475e+01
1.773735259789914380e+02,6.800000000000000000e+01,9.736919640280876820e+01,9.619498724961401592e+01
1.805824982224547455e+02,6.737999999999999545e+01,9.740429529737149039e+01,9.646001962216175230e+01
