t (ms),vlv (ml),plv (mmHg),pao (mmHg)
250.4775302,55.91,81.68948734,79.84143488
253.829866,55.58,81.84172168,80.15596474
257.1703561,55.25,81.96046757,80.46822647
260.5108462,54.93,82.05043624,80.77790722
263.8513363,54.64,82.1177764,81.08469416
267.2036722,54.36,82.16865179,81.38827443
270.5441623,54.1,82.20922617,81.68833518
273.8846524,53.86,82.24618493,81.98456357
277.2251425,53.64,82.28817647,82.27664671
280.5656326,53.44,82.34431083,82.56427174
283.9179685,53.24,82.42369806,82.84712576
287.2584586,53.04,82.53533223,83.12489589
290.5989487,52.84,82.68027527,83.39726931
293.9394388,52.64,82.84669923,83.66393325
297.2917746,52.42,83.02159476,83.92457496
300.6322648,52.19,83.19195253,84.17888171
303.9727549,51.94,83.34429037,84.4265407
307.313245,51.67,83.45835053,84.66723892
310.6655808,51.39,83.5088083,84.90066313
314.0060709,51.11,83.47021694,85.12650008
317.346561,50.84,83.31712975,85.34443654
320.6870512,50.57,83.02368987,85.55415949
324.039387,50.33,82.56186452,85.75535713
327.3798771,50.11,81.90290202,85.94771804
330.7203672,49.92,81.01805025,86.13093081
334.0608573,49.78,79.87860106,86.30468402
337.4131932,49.68,78.46497809,86.46866431
340.7536833,49.61,76.77788641,86.62255404
344.0941734,49.58,74.82076097,86.76603495
347.4346635,49.57,72.59703672,86.89878882
350.7751536,49.59,70.11065229,87.02049793
354.1274894,49.63,67.37729868,87.13085672
357.4679796,49.68,64.42451329,87.22957188
360.8084697,49.73,61.28035602,87.31635066
364.1489598,49.8,57.97288675,87.39090027
367.5012956,49.86,54.53220028,87.45292009
370.8417857,49.94,51.00381005,87.50204977
374.1822759,50.02,47.44029154,87.53790163
377.522766,50.11,43.89425689,87.56008784
380.8751018,50.19,40.41831455,87.56822065
384.2155919,50.27,37.05801684,87.56200812
387.556082,50.33,33.8371715,87.54145374
390.8965721,50.36,30.77541098,87.5066177
394.248908,50.37,27.89236775,87.4575602
397.5893981,50.34,25.2073758,87.39434561
400.9298882,50.26,22.72690115,87.31721904
404.2703783,50.14,20.43992303,87.22667115
407.6227141,49.96,18.3341711,87.12321015
410.9632043,49.75,16.397375,87.00734425
414.3036944,49.52,14.6176227,86.87957671
417.6441845,49.28,12.98699762,86.74035571
420.9965203,49.04,11.50008255,86.59009491
424.3370104,48.81,10.15149856,86.42920748
427.6775006,48.62,8.935866707,86.25810657
431.0179907,48.46,7.84751757,86.07720925
434.3703265,48.36,6.879523723,85.88694955
437.7108166,48.31,6.024617259,85.68776611
441.0513067,48.31,5.275530262,85.48009755
444.3917968,48.35,4.62499697,85.26438247
447.732287,48.44,4.065969249,85.04105724
451.0846228,48.56,3.591800389,84.81055411
454.4251129,48.72,3.195886969,84.57330486
457.765603,48.91,2.871625569,84.3297413
461.1060931,49.14,2.612389756,84.08029528
464.458429,49.38,2.411154675,83.8253996
467.7989191,49.65,2.260558518,83.56548788
471.1394092,49.95,2.153228866,83.30099378
474.4798993,50.27,2.081793299,83.03235094
477.8322351,50.62,2.039168473,82.75999295
481.1727253,50.99,2.020042173,82.48435302
484.5132154,51.39,2.019772652,82.20586423
487.8537055,51.81,2.033719426,81.92495964
491.2060413,52.26,2.057244972,81.64207234
494.5465314,52.73,2.086929884,81.35763552
497.8870215,53.23,2.122443656,81.07208263
501.2275117,53.74,2.16393805,80.78584719
504.5798475,54.29,2.211564827,80.49936273
507.9203376,54.86,2.265462705,80.21306272
511.2608277,55.44,2.325386466,79.92738014
514.6013178,56.04,2.390653533,79.64274736
517.941808,56.65,2.460557549,79.35959669
521.2941438,57.26,2.534392156,79.07836047
524.6346339,57.86,2.611466581,78.79947133
527.975124,58.45,2.691227779,78.52336451
531.3156141,59.03,2.773194524,78.25047663
534.66795,59.59,2.856886205,77.98124431
538.0084401,60.13,2.941822214,77.71610418
541.3489302,60.64,3.027513514,77.45548985
544.6894203,61.14,3.113441219,77.19982431
548.0417561,61.62,3.199079843,76.94952818
551.3822462,62.09,3.283903898,76.70502209
554.7227364,62.55,3.367387606,76.46672704
558.0632265,63,3.44898798,76.23508627
561.4155623,63.43,3.528135553,76.01057717
564.7560524,63.87,3.604258603,75.79368008
568.0965425,64.3,3.67678541,75.58487532
571.4370326,64.72,3.745154612,75.3846333
574.7893685,65.13,3.80894213,75.19329296
578.1298586,65.54,3.867821175,75.01110008
581.4703487,65.95,3.921467015,74.83829845
584.8108388,66.35,3.96955492,74.67513187
588.1631747,66.77,4.011857324,74.52174146
591.5036648,67.19,4.048631259,74.37775624
594.8441549,67.62,4.080284535,74.24264586
598.184645,68.07,4.107225012,74.11587994
601.5251351,68.54,4.129860351,73.99692828
604.8774709,69.03,4.148566169,73.88529282
608.2179611,69.54,4.163650835,73.78054282
