t (ms), vlv (ml), plv (mmHg), part (mmHg)
6.352732876487754083e+02,8.145000000000000284e+01,1.792792377243583646e+00,6.465751209974071401e+01
6.393914554575560487e+02,8.198000000000000398e+01,1.929146171562785339e+00,6.451407325713262253e+01
6.435096232663366891e+02,8.251999999999999602e+01,2.064206072806068271e+00,6.437116533330747359e+01
6.476277910751173295e+02,8.306999999999999318e+01,2.199265974049350980e+00,6.422825740948232465e+01
6.517459588838978561e+02,8.362000000000000455e+01,2.334325875292630137e+00,6.408534948565717571e+01
6.558641266926783828e+02,8.417000000000000171e+01,2.465983031413123694e+00,6.394348045874683351e+01
6.599822945014590232e+02,8.471999999999999886e+01,2.596043445169819108e+00,6.380209893550063072e+01
6.641004623102397773e+02,8.526000000000000512e+01,2.726103858926518519e+00,6.366071741225442082e+01
6.682186301190201903e+02,8.579000000000000625e+01,2.856164272683206828e+00,6.351933588900823224e+01
6.723367979278009443e+02,8.631000000000000227e+01,2.981675405999791639e+00,6.337906910312628384e+01
6.764549657365815847e+02,8.681000000000000227e+01,3.105383011425347561e+00,6.323924424645799292e+01
6.805731335453623387e+02,8.729000000000000625e+01,3.229090616850906592e+00,6.309941938978970200e+01
6.846913013541427517e+02,8.776000000000000512e+01,3.352798222276455853e+00,6.295959453312141818e+01
6.888094691629235058e+02,8.821999999999999886e+01,3.470715292422100529e+00,6.282096242087335014e+01
6.929276369717040325e+02,8.865999999999999659e+01,3.586718541585394160e+00,6.268272452076417522e+01
6.970458047804845592e+02,8.907999999999999829e+01,3.702721790748688235e+00,6.254448662065500741e+01
7.011639725892651995e+02,8.948000000000000398e+01,3.818725039911985419e+00,6.240624872054583250e+01
7.052821403980458399e+02,8.985999999999999943e+01,3.929381977127510694e+00,6.226928372339479267e+01
7.094003082068265940e+02,9.020999999999999375e+01,4.038592629976693438e+00,6.213266307196585103e+01
7.135184760156070070e+02,9.053000000000000114e+01,4.147803282825866411e+00,6.199604242053692360e+01
7.176366438243877610e+02,9.082999999999999829e+01,4.257013935675049154e+00,6.185942176910798196e+01
7.217548116331684014e+02,9.109000000000000341e+01,4.366711995100586385e+00,6.172415630566708700e+01
7.258729794419489281e+02,9.131000000000000227e+01,4.476515192039413726e+00,6.158918316715986663e+01
7.299911472507295684e+02,9.151000000000000512e+01,4.586318388978244620e+00,6.145421002865263915e+01
7.341093150595102088e+02,9.168999999999999773e+01,4.696121585917075514e+00,6.131923689014541168e+01
7.382274828682908492e+02,9.185999999999999943e+01,4.813850744655987945e+00,6.118570340192328416e+01
7.423456506770713759e+02,9.203000000000000114e+01,4.932891090157460745e+00,6.105240807412183557e+01
7.464638184858520162e+02,9.220000000000000284e+01,5.051931435658937097e+00,6.091911274632037987e+01
7.505819862946326566e+02,9.237999999999999545e+01,5.170971781160413450e+00,6.078581741851893128e+01
7.547001541034131833e+02,9.257999999999999829e+01,5.381480403644109956e+00,6.065404832361284804e+01
7.588183219121938237e+02,9.281000000000000227e+01,5.602886988086614117e+00,6.052246107129288077e+01
7.629364897209745777e+02,9.306999999999999318e+01,5.824293572529125385e+00,6.039087381897291351e+01
7.670546575297552181e+02,9.335999999999999943e+01,6.045700156971629546e+00,6.025928656665294625e+01
7.711728253385357448e+02,9.365999999999999659e+01,6.665512454016375266e+00,6.012931431557200312e+01
7.752909931473163851e+02,9.398999999999999488e+01,7.315761209573238943e+00,5.999946544354074263e+01
7.794091609560970255e+02,9.431999999999999318e+01,7.966009965130103510e+00,5.986961657150947502e+01
7.835273287648774385e+02,9.467000000000000171e+01,8.616258720686932548e+00,5.973976769947821452e+01
7.876454965736581926e+02,9.503000000000000114e+01,1.003356714120454996e+01,5.961162469950794218e+01
7.917636643824388329e+02,9.537999999999999545e+01,1.147909768080304715e+01,5.948354446300529474e+01
7.958818321912194733e+02,9.573999999999999488e+01,1.292462822040154435e+01,5.935546422650264731e+01
8.000000000000000000e+02,9.609000000000000341e+01,1.437015876000000070e+01,5.922738398999999987e+01
